id,name
1,James Cameron
2,Kim Byung-woo
3,Ruben Fleischer
4,Jalmari Helander
5,Jared Bush
6,Brad Anderson
7,Bruno Forzani
8,Edgar Wright
9,Joey Palmroos
10,Rian Johnson
11,Richard Gray
12,Rich Lee
13,Wych Kaosayananda
14,Emma Tammi
15,Raja Collins
16,Rick Roessler
17,Joachim Rønning
18,Ariel Winograd
19,Larry Yang
20,Dan Trachtenberg
21,Paul Etheredge
22,Tatsuya Yoshihara
23,Jui-Chih Chiang
24,Allan Ungar
25,Roar Uthaug
26,Randall Emmett
27,Rishab Shetty
28,Haruo Sotozaki
29,George Clooney
30,Rob Cohen
31,Lu Chuan
32,Jiao Zi
33,Aditya Dhar
34,Guillermo del Toro
35,Luc Besson
36,Ben Leonberg
37,Paul Thomas Anderson
38,Denis Rovira van Boekholt
39,Byron Howard
40,Arturo Ambriz
41,Shota Goshozono
42,James Nunn
43,Lynne Ramsay
44,Maggie Kang
45,Andy Muschietti
46,Steven Spielberg
47,Lotfy Nathan
48,Christopher McQuarrie
49,Yoshiharu Ashino
50,Jon M. Chu
51,Mikhail Vaynberg
52,Paul Feig
53,Simon Cellan Jones
54,Osgood Perkins
55,Matt Shakman
56,Keishi Otomo
57,Joss Whedon
58,Yorgos Lanthimos
59,Álvaro Fernández Armero
60,Ron Howard
61,Stanley Tong Gwai-Lai
62,Timo Vuorensola
63,Oxide Pang Chun
64,Louis Leterrier
65,Scott Derrickson
66,James Gunn
67,Derek Drymon
68,Chris Columbus
69,Christopher Nolan
70,Gareth Edwards
71,Ruben Islas
72,Justin Wu
73,Domee Shi
74,Frank Darabont
75,Mar Olid
76,Stanley Kubrick
77,Josh Boone
78,Francis Ford Coppola
79,Are Austnes
80,Joseph Kosinski
81,Domingo González
82,Ram Narayan
83,Michel Franco
84,Rahul Sadasivan
85,Michael Chaves
86,Bing Liu
87,Alexs Stadermann
88,Dean DeBlois
89,Nick Rowland
90,Honey Trehan
91,Jafar Panahi
92,Chris Foggin
93,R.J. Daniel Hanna
