id,film_id,genre_id
1,1,1
2,1,2
3,1,3
4,2,1
5,2,2
6,2,4
7,3,5
8,3,6
9,3,7
10,4,8
11,4,9
12,5,10
13,5,11
14,5,2
15,5,12
16,5,7
17,6,1
18,6,8
19,7,8
20,7,5
21,7,7
22,8,8
23,8,5
24,8,1
25,9,8
26,9,5
27,10,5
28,10,7
29,10,11
30,11,13
31,11,2
32,11,6
33,12,1
34,12,5
35,13,8
36,13,5
37,14,14
38,14,5
39,15,8
40,15,4
41,15,5
42,16,14
43,17,1
44,17,2
45,17,8
46,18,11
47,18,8
48,19,8
49,19,6
50,19,5
51,20,8
52,20,1
53,20,2
54,21,14
55,21,5
56,22,10
57,22,8
58,22,15
59,22,3
60,23,6
61,23,8
62,24,8
63,24,2
64,24,1
65,25,8
66,25,2
67,25,3
68,25,1
69,26,8
70,26,6
71,26,11
72,26,5
73,27,8
74,27,3
75,27,5
76,28,8
77,28,6
78,28,5
79,29,8
80,29,4
81,29,3
82,30,10
83,30,8
84,30,3
85,31,9
86,31,4
87,31,16
88,31,8
89,32,8
90,32,2
91,32,5
92,32,6
93,32,4
94,33,8
95,33,2
96,33,1
97,34,10
98,34,3
99,34,2
100,34,8
101,35,8
102,35,5
103,36,4
104,36,3
105,36,14
106,37,14
107,37,3
108,37,15
109,38,14
110,38,5
111,39,5
112,39,6
113,39,8
114,40,15
115,40,4
116,41,10
117,41,2
118,41,12
119,41,11
120,42,10
121,42,12
122,42,3
123,42,14
124,43,10
125,43,8
126,44,8
127,44,5
128,44,6
129,45,4
130,45,5
131,46,3
132,46,17
133,46,11
134,46,10
135,47,14
136,47,5
137,48,1
138,48,2
139,48,12
140,48,3
141,49,14
142,50,8
143,50,5
144,50,2
145,51,3
146,51,10
147,51,8
148,51,1
149,52,3
150,52,2
151,52,15
152,53,15
153,54,7
154,54,5
155,55,8
156,55,11
157,56,14
158,56,5
159,57,14
160,57,7
161,58,1
162,58,2
163,58,8
164,59,15
165,59,4
166,60,1
167,60,8
168,60,2
169,61,1
170,61,6
171,62,11
172,62,14
173,62,7
174,62,12
175,63,12
176,63,11
177,63,3
178,64,8
179,64,2
180,64,3
181,65,1
182,65,8
183,66,8
184,66,6
185,67,8
186,67,6
187,67,5
188,68,14
189,68,5
190,69,1
191,69,2
192,69,8
193,70,12
194,70,11
195,70,2
196,70,10
197,71,11
198,71,12
199,71,2
200,72,2
201,72,4
202,72,1
203,73,1
204,73,2
205,73,8
206,74,8
207,74,5
208,75,15
209,75,11
210,76,12
211,76,11
212,76,2
213,76,10
214,76,1
215,77,4
216,77,6
217,78,11
218,78,12
219,78,2
220,78,3
221,79,14
222,79,5
223,80,8
224,80,9
225,81,15
226,81,4
227,82,4
228,82,6
229,83,10
230,83,12
231,83,2
232,84,8
233,84,4
234,85,4
235,85,15
236,85,5
237,86,11
238,86,15
239,87,4
240,87,15
241,88,14
242,88,5
243,88,4
244,89,14
245,90,4
246,90,15
247,91,10
248,91,2
249,91,3
250,91,12
251,91,8
252,91,11
253,92,3
254,92,12
255,92,8
256,92,2
257,93,8
258,93,5
259,93,6
260,94,11
261,94,6
262,94,7
263,95,5
264,95,7
265,95,6
266,95,4
267,96,4
268,96,5
269,96,6
270,97,8
271,97,1
272,97,2
273,98,11
274,98,15
275,99,14
276,99,5
277,100,14
278,100,5
