id,user_id,title,content,like_count,created_at,updated_at
1,1,Review from Manuel São Bento,"FULL SPOILER-FREE REVIEW @ https://movieswetextedabout.com/avatar-fire-and-ash-movie-review-james-cameron-finds-himself-between-technical-brilliance-and-creative-stagnation/

""Avatar: Fire and Ash leaves me with mixed feelings of technical admiration and creative exhaustion. It's a film that lives off its scale, scope, and technical audacity but fails to take the step forward the narrative required to become memorable on its own merit.

Cinema cannot just be a technology demonstration; it needs characters whose journeys we feel as our own, themes that are explored in depth, and stories that aren't limited to repeating past successes. There are fascinating ideas here, from Neytiri's grief to Kiri's divine isolation and Varang's antagonistic beliefs, but they're lost under a cynical structure and unjustified plot decisions that make the experience truly frustrating. The lack of clarity about the fate of certain characters and the stagnation of some arcs make me fear that the next movies will follow the same path.

James Cameron is an undeniable visionary, but he seems to have forgotten that for a flame to keep burning brightly, it needs new fuel and not just the ashes of yesterday.""

Rating: C",561,2025-12-18 10:34:56,2025-12-18 10:34:56
2,2,Review from Khushdave,"One of the first things that stood out to me was how feminine this film felt in the best possible way. Almost every major female character holds power, agency, or authority: the Tulkun matriarch, Ronal, Tonowari’s clan through Ronal’s influence, Kiri, General Ardmore, Varang, and especially Neytiri, who finally gets the screen presence she deserved after the first film. Across clans and factions, women clearly hold more power than men, and that thematic choice felt intentional and refreshing.

Visually, the film is absolutely staggering. The massive set pieces are some of the most impressive James Cameron has ever delivered. Bridgehead City and the Cove of the Ancestors are jaw-dropping, and for the first time since the original Avatar, I didn’t feel that uncanny disconnect between live-action elements and CGI. In The Way of Water, Spider occasionally felt like he didn’t quite belong in the frame. Here, that problem is gone entirely.

The human technology continues to be absurdly cool. The submarines, aircraft, ships, and industrial machinery are all terrifying and fascinating in equal measure. Cameron still knows how to make humanity’s tools of destruction visually seductive.

Kiri and Spider’s bond is finally made official, and that storyline is one of the film’s emotional cores. Spider, in particular, benefits enormously from the increased focus. After spending much of The Way of Water sidelined, he steps into the narrative in a big way. The sequence where Kiri gives him the ability to breathe Pandora’s air is genuinely suspenseful, even when you can guess where it’s going.

Lo’ak’s arc is one of the biggest improvements from the previous film. I wasn’t a fan of him in The Way of Water, where he often came across as reckless without understanding the consequences of his actions. Here, his growth feels earned and deeply affecting. His suicide attempt was shocking in the moment but makes painful sense in hindsight. Jake handles Neteyam’s death terribly and places much of his grief and blame onto Lo’ak, becoming an emotionally absent and often cruel father. Seeing Jake finally tell Lo’ak that he’s proud of him is one of the most satisfying moments in the film.

Varang and the Ash People are genuinely terrifying antagonists. A Mangkwan warrior becoming a suicide bomber to take down a Windtrader ship is one of the film’s most chilling sequences, as is the scene where they sever Na’vi kurus. Varang herself is a standout villain. Her rage is rooted in loss and starvation, in a childhood shaped by destruction and abandonment. She doesn’t believe Eywa will save anyone, and her trauma drives her toward annihilation rather than healing. She’s compelling precisely because she’s so damaged.

Quaritch continues to be one of the franchise’s most interesting characters. He evolves from insisting he’s “not that man” into slowly accepting himself as an upgraded continuation of his human self. Jake’s words to him during moments when they’re not actively trying to kill each other clearly get under his skin. His dynamic with Varang brings out the worst in both of them, but it feels more like a relationship of convenience than genuine bonding. Quaritch increasingly feels like a ghost with unfinished business, driven by an imprinted need to destroy Jake Sully even when it no longer serves him.

The scene where Jake is captured and put on display by the humans is incredibly effective. The voyeuristic curiosity of the crowd makes it feel suffocating, like you’re trapped in the box with him. Jake’s words to Quaritch in that moment are chilling.

Neytiri’s return to center stage is another highlight. Her scene freeing Jake is pure catharsis, reminding us why she remains one of the franchise’s most powerful figures.

The film works extremely well as a direct continuation of The Way of Water. There’s no need to pause for heavy exposition, and while that might frustrate some viewers, it reinforces the feeling that this is very much Part Two rather than a standalone chapter. In that sense, Fire and Ash retroactively strengthens The Way of Water, which ended in a somewhat unfinished place.

The revelation about Kiri feels inevitable and satisfying. She is a clone of Grace’s avatar, with no father, and appears to be Eywa incarnate or at least its physical manifestation. The choice to give Eywa a face that resembles Kiri reinforces that idea beautifully.

That said, the film is not without its flaws. Several major plot beats feel like rehashes of earlier films, particularly the final battle. Humans walk into an ambush, the Na’vi initially gain the upper hand, are overwhelmed by superior firepower, Eywa intervenes through wildlife, and the climax ends with a personal duel between Jake and Quaritch, this time with Spider as the third presence. Kidnappings also remain an overused narrative device.

Many side characters suffer due to the film’s ambition. Tsireya, Ronal, Tonowari, Aonung, and Rotxo were essential in The Way of Water, but here they’re largely sidelined. Rotxo’s death, in particular, feels underdeveloped and somewhat cheap. Ronal’s arc is disappointing as well. She’s mostly reduced to being pregnant and eventually dying, despite her strong presence in the previous film. Tonowari is barely given anything to do at all.

The Windtraders are another missed opportunity. David Thewlis’s Peylak is barely present, and the group disappears from the story far too quickly. It’s unclear whether Peylak is even alive by the end, and that ambiguity feels unearned.

There’s also a recurring issue where entire groups of characters seem to vanish during major battles. Just as the Metkayina disappeared during the climax of The Way of Water, large numbers of Na’vi seemingly evaporate here, despite clearly being alive in the aftermath.

Norm and Max fare slightly better than before, but the bar was extremely low. Given the lore revelations around Norm having a Na’vi family, it’s frustrating that this isn’t explored further.

The ending feels less complete than The Way of Water’s. Important reactions and consequences are missing, such as Tsireya and Tonowari learning about Ronal’s death, the fate of remaining RDA soldiers, and how Quaritch, Varang, and the Mangkwan escape. While Spider’s acceptance into Na’vi society is emotionally satisfying, it doesn’t fully compensate for the unresolved threads.

Looking ahead, there are many compelling questions. What happened to Quaritch and Varang, especially given Varang’s visible fear of Kiri? Is Ardmore alive? Who is “the Chairman” that Selfridge references? Was Garvin recording Jake’s imprisonment, and could that footage be used to expose the RDA back on Earth? Why does Eywa have a face, and why does it look like Kiri? And how long can Quaritch realistically remain the central antagonist as he drifts further from human command?

Spider’s future is particularly troubling. Neytiri tries to kill him multiple times across the last two films, and Jake attempts to ritually execute him. His question, “Do you still love me?” is heartbreaking. He desperately wants a family, yet both of his parental figures nearly murder him. His bond with Quaritch only complicates things further, creating emotional whiplash that feels intentional and painful.

Overall, I loved Fire and Ash. It’s beautiful, emotionally effective, and ambitious to a fault. It tries to juggle too many characters and storylines, and some inevitably suffer for it. Like the original Avatar, this film would benefit enormously from an extended edition with restored scenes. It barely feels like three hours, which suggests a significant amount was left on the cutting room floor.

Fire and Ash works best when viewed as the second half of The Way of Water rather than a standalone film. Together, they form a richer, more coherent narrative about grief, responsibility, and resistance. Even if Avatar 4 and 5 never happen, I hope we at least get extended editions to fully flesh out what’s already here.

Despite its flaws and It may not tell a particularly unique story, but it tells it beautifully, and the emotions land exactly where they’re meant to.",9,2025-12-19 16:08:19,2025-12-19 17:06:04
3,3,Review from Dean,"I give it 5/10 because, this 5 stars are for technical side. Movie has amazing effects, especially if you're watching it in 3D. It's visually beautiful, however I'm not giving rest 5 stars because of its narrative and agenda. Movie portraits us - humankind as evil, conquering race and simply bad. Yes, sure, we humans made a lots of mistakes in the past and we're not perfect, but we're not that bad and we do a lot of great and kind things as well, but people in Hollywood (those liberals) want us to hate ourselves, to feel guilty, to say how bad we are. Those people who push this agenda, they're obssessed with self-hatred and humilation. They're the one who want to divide people. We even hear in movie how those tribal aliens are calling us ""pink-asses"" and how they hate us. I think we all know what's happening here folks, it's a same leftist narrative and their propaganda.",366,2025-12-20 11:47:06,2025-12-20 11:47:06
4,4,Review from Dave,"The first film is a classic  and really made 3D movies a thing again. This one brought back that magic just like the original in that it was another roller coaster adventure. The score was terrific, almost as good as the first one.  The vibes are dark, dark, and emotional, but strong character builds made for a fantastic plot line execution. Disney fan service was notably fine-tuned and props for that one. The level of real-world issues is turned up to the max, similar to Cameron’s big ones  (Terminator, Aliens, Titanic), but an epic trilogy just like the original Star Wars and Lord of the Rings, so tons of strong biblical and spiritual tones.",854,2025-12-23 11:46:44,2025-12-23 17:20:31
5,1,Review from Manuel São Bento,"FULL SPOILER-FREE REVIEW @ https://movieswetextedabout.com/the-great-flood-movie-review-kim-da-mi-shines-in-a-convoluted-disaster-flick/

""The Great Flood ends up being a bittersweet experience, promising an immersion into the human soul in the face of the abyss, but floating only on the surface of several ideas without truly diving into any of them.

It benefits immensely from the talent of Kim Da-mi, but it's pulled down by a script that can't decide if it wants to be an action blockbuster or a philosophical essay.

An ambitious project that forgot to solidify its emotional foundations before opening the floodgates of scientific complexity.""

Rating: C",318,2025-12-19 21:43:02,2025-12-19 21:43:02
6,5,Review from MovieGuys,"""The Great Flood"" could have been the most remarkable disaster movie I've ever seen and indeed, on a certain level, it still is.

This film successfully marries up the comfortable, if messy, normality of everyday suburban life, with a, by degree, increasingly terrifying disaster. It starts slowly, with heavy rain but then we see water building to oceanic levels, outside tall South Korean apartment blocks, topped off by horrifying giant waves, that quite literally, shatter the illusion of a safe and predictable future.

Viewed from this perspective this film is simply stunning. Topped off by superb, sensibly understated but nonetheless emotionally girpping performances, from the talented cast.

As another reviewer aptly points out, the departure from this script, is where this film comes up short. Indeed, an ""essay on morality"" and maybe humanism, is the perfect description of what this film tries to achieve in its second half, but never quite gets there. 

Its biggest problem is it does not set the stage for this sudden transition in its story, in a concise or convincing, manner. You might also argue it could have achieved the same emotional outcome, by simply furthering, the initial premise it so compellingly established. 

In summary, ""The Great Flood"" is a film of two parts. The first part is amazing, the second half muddies the waters, dissipating a message, about what it means to be truly human, it was already well on its way, to making.",470,2025-12-20 21:19:48,2025-12-20 21:22:25
7,6,Review from CinemaSerf,"Twelve years after they dazzled us with their magical skills, the “Four Horsemen” are mysteriously reunited and joined by an enthusiastic young trio who bring some new blood to their most difficult challenge yet. Someone wants them to bring the wealthy “Veronica Vanderberg” (Rosamund Pike) to her knees, but the only way to do that is to pinch her enormous diamond. Needless to say, this is kept in an ultra-secure vault and this one is also buried deep in the Arabian desert. Before they can even think on appropriating this gem, the cocky “Atlas” (Jesse Eisenberg) has to learn to get on with the even more sure of himself newbie “Bosco” (Dominic Sessa) whilst all seven, gradually, proceed to try to work together and decrypt the secrets hidden within a French château that has more than it’s fair share of secret passages and surprise residents. Meanwhile, this infamous stone has another would-be owner, who is attempting to blackmail the money laundering “Veronica” with some information that she might not want public. With no shortage of people trying to steal the thing, what happens next…? It has some moments, this film, when the pace really picks up and the visuals deliver some quickly paced feats of illusion that are quite entertainingly and usually acrobatically presented. In some ways, it also serves to debunk some of the myths of these theatrically deceptive arts, but sadly these scenes are too few and far between. There’s just way too much dialogue, and not enough vanishing. To be fair to Pike, she does look the part and her South African accent just about stays the course; Sessa, Justice Smith and Ariana Greenblatt deliver fine as they breathe new life - and a little map humour - into old props, but Harrelson hams up too annoyingly, Dave Franco just models his beaming smile and small T-shirts and Isla Fisher isn’t really on screen often enough to make very much difference to a story that is dragged out as if it were being paid, scene by scene, by a tourist board or some luxury product placement. It isn’t dull, and the production is way more highly polished than her jewel, but I think the sleight of hand filming techniques that maybe worked in 2013 are less effective now that we all know CGI can render the impossible, possible. Harmless fun.",865,2025-11-15 14:40:15,2025-11-15 14:43:36
8,1,Review from Manuel São Bento,"FULL SPOILER-FREE REVIEW @ https://movieswetextedabout.com/now-you-see-me-now-you-dont-movie-review-ruben-fleischer-presents-a-more-polished-yet-empty-trick/

Rating: C+

""Now You See Me: Now You Don't undoubtedly asserts itself as the most solid entry in this trilogy, raising the technical bar and finding new life in the reinvigorated dynamic of its cast.

However, all the superficial shine and aesthetic improvements fail to hide a script that confuses complexity with complication, delivering characters that function merely as pieces on a formulaic board. It works as light entertainment, but it's insufficient to fully justify its return to the big screen.

It invites us to look closer, but unfortunately, the closer we look, the less we see the depth it promises, leaving only the fleeting glow of a well-rehearsed trick, yet empty of true magic.""",143,2025-11-27 21:31:00,2025-11-27 21:31:00
9,7,Review from wellfailed,"### The movie is exactly what you would expect from Sisu 2:
- a good balance between possible to survive and plot armor,
- total unpredictability while being able to tell exactly what is going to happen in a minute's time,
- a piece of art hilarious in its absurd,
- a western in Finland.

10/10, can't recommend enough",352,2025-11-29 13:21:46,2025-11-30 18:01:20
10,8,Review from HaremCinema,Ridiculously over-the-top. Insultingly impossible action. Glorious. Look past all of the insane levels of destruction and carnage and you will see the special heart of this story. A man is going to take his family home. It's that simple. Along the way he encounters some.... hurdles that need to be jumped. So he jumps them. Fantastic experience.,444,2025-12-01 00:14:29,2025-12-03 16:58:39
