id,name
1,Avatar: Fire and Ash
2,2025
3,James Cameron
4,Science Fiction
5,Adventure
6,Fantasy
7,The Great Flood
8,Kim Byung-woo
9,Drama
10,Now You See Me: Now You Don't
11,Ruben Fleischer
12,Thriller
13,Crime
14,Mystery
15,Sisu: Road to Revenge
16,Jalmari Helander
17,Action
18,War
19,Zootopia 2
20,Jared Bush
21,Animation
22,Comedy
23,Family
24,Worldbreaker
25,Brad Anderson
26,The Running Man
27,Edgar Wright
28,Wake Up Dead Man: A Knives Out Mystery
29,Rian Johnson
30,War of the Worlds
31,Rich Lee
32,Five Nights at Freddy's 2
33,Emma Tammi
34,Horror
35,TRON: Ares
36,Joachim Rønning
37,The Shadow's Edge
38,Larry Yang
39,Predator: Badlands
40,Dan Trachtenberg
41,Chainsaw Man - The Movie: Reze Arc
42,Tatsuya Yoshihara
43,Romance
44,Avatar: The Way of Water
45,2022
46,Avatar
47,2009
48,Troll 2
49,Roar Uthaug
50,High Rollers
51,Randall Emmett
52,Kantara - A Legend: Chapter 1
53,Rishab Shetty
54,Demon Slayer: Kimetsu no Yaiba Infinity Castle
55,Haruo Sotozaki
56,The Monuments Men
57,2014
58,George Clooney
59,History
60,xXx
61,2002
62,Rob Cohen
63,Ne Zha 2
64,Jiao Zi
65,Dhurandhar
66,Aditya Dhar
67,Frankenstein
68,Guillermo del Toro
69,Dracula
70,Luc Besson
71,Good Boy
72,Ben Leonberg
73,One Battle After Another
74,Paul Thomas Anderson
75,Zootopia
76,2016
77,Byron Howard
78,I Am Frankelda
79,Arturo Ambriz
80,JUJUTSU KAISEN: Execution -Shibuya Incident x The Culling Game Begins-
81,Shota Goshozono
82,Wildcat
83,James Nunn
84,Die My Love
85,Lynne Ramsay
86,KPop Demon Hunters
87,Chris Appelhans
88,Music
89,It
90,2017
91,Andy Muschietti
92,E.T. the Extra-Terrestrial
93,1982
94,Steven Spielberg
95,The Carpenter's Son
96,Lotfy Nathan
97,Mission: Impossible - The Final Reckoning
98,Christopher McQuarrie
99,Wicked: For Good
100,Jon M. Chu
101,It Chapter Two
102,2019
103,Keeper
104,Osgood Perkins
105,The Fantastic 4: First Steps
106,Matt Shakman
107,The Avengers
108,2012
109,Joss Whedon
110,Bugonia
111,Yorgos Lanthimos
112,How the Grinch Stole Christmas
113,2000
114,Ron Howard
115,Altered
116,Timo Vuorensola
117,Black Phone 2
118,Scott Derrickson
119,Superman
120,James Gunn
121,Home Alone 2: Lost in New York
122,1992
123,Chris Columbus
124,Interstellar
125,Christopher Nolan
126,Jurassic World Rebirth
127,Gareth Edwards
128,Elio
129,Madeline Sharafian
130,The Shawshank Redemption
131,1994
132,Frank Darabont
133,The Shining
134,1980
135,Stanley Kubrick
136,Sisu
137,Regretting You
138,Josh Boone
139,The Godfather
140,1972
141,Francis Ford Coppola
142,F1
143,Joseph Kosinski
144,My Fault
145,2023
146,Domingo González
147,The Conjuring: Last Rites
148,Michael Chaves
149,Preparation for the Next Life
150,Bing Liu
151,200% Wolf
152,2024
153,Alexs Stadermann
154,How to Train Your Dragon
155,Dean DeBlois
156,She Rides Shotgun
157,Nick Rowland
158,Knives Out
159,It Was Just an Accident
160,Jafar Panahi
161,Inception
162,2010
163,Five Nights at Freddy's
