id,tmdb_id,title,year,release_date,director,genre,duration,overview,rating,vote_count,language,poster_url
1,83533,Avatar: Fire and Ash,2025,2025-12-17,James Cameron,"Science Fiction, Adventure, Fantasy",198,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",7.301,470,en,83533_gDVgC9jd917NdAcqBdRRDUYi4Tq.jpg
2,982843,The Great Flood,2025,2025-09-18,Kim Byung-woo,"Science Fiction, Adventure, Drama",109,"When a raging flood traps a researcher and her young son, a call to a crucial mission puts their escape — and the future of humanity — on the line.",6.157,162,ko,982843_1tUOZQDgZaGqZtrB21MieiXARL2.jpg
3,425274,Now You See Me: Now You Don't,2025,2025-11-12,Ruben Fleischer,"Thriller, Crime, Mystery",112,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",6.467,583,en,425274_oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg
4,1223601,Sisu: Road to Revenge,2025,2025-10-21,Jalmari Helander,"Action, War",89,"Returning to the house where his family was brutally murdered during the war, ‘the man who refuses to die’ dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues.",7.611,239,fi,1223601_jNsttCWZyPtW66MjhUozBzVsRb7.jpg
5,1084242,Zootopia 2,2025,2025-11-26,Jared Bush,"Animation, Comedy, Adventure, Family, Mystery",107,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",7.649,697,en,1084242_oJ7g2CifqpStmoYQyaLQgEU32qO.jpg
6,1196067,Worldbreaker,2025,2025-10-30,Brad Anderson,"Science Fiction, Action",95,"Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe.",6.038,26,en,1196067_7K8w6mdrJp0oaSoKWGyjSZ4Zv2z.jpg
7,1013446,Reflection in a Dead Diamond,2025,2025-06-25,Bruno Forzani,"Action, Thriller, Mystery",87,"When the mysterious woman in the room next door disappears, a debonair 70-year-old ex-spy living in a luxury hotel on the Côte d'Azur is confronted by the demons and darlings of a lurid past in which moviemaking, memories and madness collide.",6.0,45,fr,1013446_5CdRxBu7jRDHjthkAL8vE0GdKUD.jpg
8,798645,The Running Man,2025,2025-11-11,Edgar Wright,"Action, Thriller, Science Fiction",133,"Desperate to save his sick daughter, working-class Ben Richards is convinced by The Running Man's charming but ruthless producer to enter the deadly competition game as a last resort. But Ben's defiance, instincts, and grit turn him into an unexpected fan favorite — and a threat to the entire system. As ratings skyrocket, so does the danger, and Ben must outwit not just the Hunters, but a nation addicted to watching him fall.",6.833,714,en,798645_dKL78O9zxczVgjtNcQ9UkbYLzqX.jpg
9,1336189,Delivery Run,2025,2025-09-10,Joey Palmroos,"Action, Thriller",84,"A food delivery driver gets caught in a deadly chase in the icy Minnesota wilderness, pursued by a crazed snowplow driver for unknown reasons, facing life-threatening situations and forced to outsmart his relentless pursuer alone.",5.0,17,en,1336189_eCA5maHDlZtXNTtiLXenwnEw7tc.jpg
10,812583,Wake Up Dead Man: A Knives Out Mystery,2025,2025-11-26,Rian Johnson,"Thriller, Mystery, Comedy",145,"When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.",7.245,960,en,812583_qCOGGi8JBVEZMc3DVby8rUivyXz.jpg
11,1195518,The Unholy Trinity,2025,2025-06-13,Richard Gray,"Western, Adventure, Crime",95,"Set against the turbulent backdrop of 1870s Montana, in the moments before the execution of Isaac Broadway, he gives his estranged son, Henry, an impossible task: murder the man who framed him for a crime he didn’t commit. Intent on fulfilling his promise, Henry travels to the remote town of Trinity, where an unexpected turn of events traps him in town and leaves him caught between Gabriel Dove, the town’s upstanding new sheriff, and a mysterious figure named St. Christopher.",6.2,101,en,
12,755898,War of the Worlds,2025,2025-07-29,Rich Lee,"Science Fiction, Thriller",91,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",4.26,787,en,755898_yvirUYrva23IudARHn3mMGVxWqM.jpg
13,1491902,Bang,2025,2025-07-11,Wych Kaosayananda,"Action, Thriller",0,"Follows a ruthless hitman who, after narrowly escaping a fatal attempt on his life, betrays his gang in an effort to find forgiveness but ends up becoming a target himself.",6.2,16,en,1491902_8SUzKOqe2ectvhYdSnR7Vq2F3n1.jpg
14,1228246,Five Nights at Freddy's 2,2025,2025-12-03,Emma Tammi,"Horror, Thriller",104,"One year since the supernatural nightmare at Freddy Fazbear's Pizza, the stories about what transpired there have been twisted into a campy local legend, inspiring the town's first ever Fazfest. With the truth kept from her, Abby sneaks out to reconnect with Freddy, Bonnie, Chica, and Foxy, setting into motion a terrifying series of events that will reveal dark secrets about the real origin of Freddy's, and unleash a decades-hidden horror.",6.304,209,en,1228246_udAxQEORq2I5wxI97N2TEqdhzBE.jpg
15,1387382,Hunting Season,2025,2025-12-05,Raja Collins,"Action, Drama, Thriller",93,"When a reclusive survivalist and his daughter rescue a mysterious, wounded woman from a river, they become entangled in a deadly web of violence and revenge, forcing them to confront a brutal criminal to survive.",6.918,55,en,
16,1438030,Slaughterhouse 2,2024,2024-10-23,Rick Roessler,Horror,93,"Unlike Buddy Bacon in the original 'Slaughterhouse' his brother Cleavon left the blood-splattered pig farm for a better life. But just like his father, Cleavon has a mute son who has a passion for home-reared, flame-grilled Wonder Jerky. Anyone who strays into Bacon's ranch, of abandoned Americana cars, will soon become part of the Wonder Jerky success story.",8.0,2,en,1438030_wkZgGYcCQIzX8zvMAHpzg4hFhLF.jpg
17,533533,TRON: Ares,2025,2025-10-08,Joachim Rønning,"Science Fiction, Adventure, Action",119,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",6.568,799,en,533533_chpWmskl3aKm1aTZqUHRCtviwPy.jpg
18,1589891,A Time for Bravery,2025,2025-12-18,Ariel Winograd,"Comedy, Action",107,"A psychoanalyst on community service aids an agent shattered by infidelity; together, they will confront danger and discover second chances.",6.767,15,es,1589891_qKKG22O5pFxqglG0oMjWTjQWCNl.jpg
19,1419406,The Shadow's Edge,2025,2025-08-16,Larry Yang,"Action, Crime, Thriller",142,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,6.591,170,zh,1419406_e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg
20,1242898,Predator: Badlands,2025,2025-11-05,Dan Trachtenberg,"Action, Science Fiction, Adventure",107,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",7.348,667,en,1242898_pHpq9yNUIo6aDoCXEBzjSolywgz.jpg
21,1162858,The Other,2025,2025-04-26,Paul Etheredge,"Horror, Thriller",99,"Unable to conceive, a couple seeks to build a family with a young orphan, survivor of tragic childhood. But their act of love turns to horror when they realize the violence in their foster's past has returned to destroy the new family.",5.608,37,en,1162858_kE6FV8Lc9Aqir6OlgaNgnbFcy9E.jpg
22,1218925,Chainsaw Man - The Movie: Reze Arc,2025,2025-09-19,Tatsuya Yoshihara,"Animation, Action, Romance, Fantasy",100,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",8.292,466,ja,1218925_pHyxb2RV5wLlboAwm9ZJ9qTVEDw.jpg
23,1468057,GATAO: Big Brothers,2025,2025-08-21,Jui-Chih Chiang,"Crime, Action",0,"Michael and his right-hand man Scorpion, who find themselves embroiled in their father Ko's turf war against rival gangs in Taipei, setting off a conflict between old and new generations of gangsters. The film is the latest installment in the Gatao franchise, following the narrative of a young successor trying to expand his power while navigating the volatile underworld.",6.2,5,zh,
24,76600,Avatar: The Way of Water,2022,2022-12-14,James Cameron,"Action, Adventure, Science Fiction",192,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",7.608,13234,en,76600_t6HIqrRAclMCA60NsSmeqe9RmNV.jpg
25,19995,Avatar,2009,2009-12-16,James Cameron,"Action, Adventure, Fantasy, Science Fiction",162,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",7.596,32995,en,19995_gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg
26,1217602,London Calling,2025,2025-09-18,Allan Ungar,"Action, Crime, Comedy, Thriller",114,"After fleeing the UK from a job gone wrong, a down on his luck hitman is forced to babysit the son of his new crime boss and show him how to become a man.",7.0,57,en,1217602_cpQ4VxBJO7vGV3IUdKzSNf4tH9V.jpg
27,1180831,Troll 2,2025,2025-11-30,Roar Uthaug,"Action, Fantasy, Thriller",105,"When a dangerous new troll unleashes devastation across their homeland, Nora, Andreas and Major Kris embark on their most perilous mission yet.",6.644,295,no,1180831_p6xAExLNFbHcLfvSuvLPoM8aqZU.jpg
28,1149167,High Rollers,2025,2025-03-14,Randall Emmett,"Action, Crime, Thriller",101,"A master thief must pull off a dangerous casino heist when his nemesis kidnaps his lover. Caught between rival criminals and FBI pursuit, he risks all to save her and score big.",6.61,86,en,1149167_hHowAaChDjwueySmwVbsjHmpWa.jpg
29,1083637,Kantara - A Legend: Chapter 1,2025,2025-10-01,Rishab Shetty,"Action, Drama, Fantasy",165,"During the Kadamba reign, King Vijayendra, the ruler of the fictional feudatory land of Bangra, meets his final fate while venturing into the mystical forest of Kantara. Witnessing this, his son Rajashekara seals the borders of their realm. Later, Prince Kulashekara reopens them through a brutal massacre. The protagonist, Berme, in search of prosperity, crosses the divide and ignites a conflict of faith, power, and destiny between the Kingdom and Nature.",7.038,53,kn,1083637_zBvw25afDn93embB8L7FzvTT2xq.jpg
30,1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,2025-07-18,Haruo Sotozaki,"Animation, Action, Fantasy",156,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",7.634,608,ja,1311031_fWVSwgjpT2D78VUh6X8UBd2rorW.jpg
31,152760,The Monuments Men,2014,2014-01-24,George Clooney,"War, Drama, History, Action",118,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on seven over-the-hill, out-of-shape museum directors, artists, architects, curators, and art historians who went to the front lines of WWII to rescue the world’s artistic masterpieces from Nazi thieves and return them to their rightful owners.  With the art hidden behind enemy lines, how could these guys hope to succeed?",6.064,3727,en,152760_wiWAg4mKV2S4vImPxsPRIdj2R2B.jpg
32,7451,xXx,2002,2002-08-09,Rob Cohen,"Action, Adventure, Thriller, Crime, Drama",124,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",5.976,4697,en,
33,1033462,Bureau 749,2024,2024-10-01,Lu Chuan,"Action, Adventure, Science Fiction",123,A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.,6.234,64,zh,1033462_flykCMw22y6yv8vKnBjmsW3pneo.jpg
34,980477,Ne Zha 2,2025,2025-01-29,Jiao Zi,"Animation, Fantasy, Adventure, Action",144,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",8.09,514,zh,
35,1291608,Dhurandhar,2025,2025-12-05,Aditya Dhar,"Action, Thriller",214,An Indian intelligence mission unfolds over ten years as an undercover agent enters Karachi's criminal and political world to dismantle dangerous cross-border terror networks.,6.283,106,hi,1291608_8FHOtUpNIk5ZPEay2N2EY5lrxkv.jpg
36,1062722,Frankenstein,2025,2025-10-17,Guillermo del Toro,"Drama, Fantasy, Horror",150,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",7.724,2327,en,
37,1246049,Dracula,2025,2025-07-30,Luc Besson,"Horror, Fantasy, Romance",130,"When a 15th-century prince denounces God after the devastating loss of his wife, he inherits an eternal curse: he becomes Dracula. Condemned to wander the centuries, he defies fate and death itself, guided by a single hope — to be reunited with his lost love.",7.1,647,fr,1246049_hCKkybW6EfSZoOW3xia9ZsQwaUd.jpg
38,1422096,Good Boy,2025,2025-10-01,Ben Leonberg,"Horror, Thriller",73,"A loyal dog moves to a rural family home with his owner Todd, only to discover supernatural forces lurking in the shadows. As dark entities threaten his human companion, the brave pup must fight to protect the one he loves most.",6.8,385,en,1422096_pvMHRi09ur2L1drXh2dXFtuMFgl.jpg
39,1054867,One Battle After Another,2025,2025-09-23,Paul Thomas Anderson,"Thriller, Crime, Action",162,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",7.5,1959,en,1054867_r4uXvqCeco0KmO0CjlhXuTEFuSE.jpg
40,1379963,Tell Me Softly,2025,2025-12-11,Denis Rovira van Boekholt,"Romance, Drama",119,"Kamila has everything under control: studies, social life, her image... Everything except the unexpected return of her neighbors, the Di Bianco brothers, after seven years of absence. Thiago stole her first kiss, and Taylor was her best friend, but now their return will turn Kami's world upside down. Can the three overcome the past that binds them? Or will everything explode into pieces once again?",5.917,54,es,1379963_6Z37lW0JfLdeFcgH9yaTyg6B9A6.jpg
41,269149,Zootopia,2016,2016-02-11,Byron Howard,"Animation, Adventure, Family, Comedy",109,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",7.757,17324,en,269149_hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg
42,1119090,I Am Frankelda,2025,2025-10-23,Arturo Ambriz,"Animation, Family, Fantasy, Horror",113,"Frankelda, a frustrated young Mexican writer from the 19th Century, travels in the form of a ghost to a kingdom of her own invention inhabited by Spooks, which are all the monstrous characters she created in her horror tales. Her guide is Herneval, the Prince of Spooks, who takes her to help him save the balance between the Realm of Fiction and the Realm of Existence by using her talent as a writer.",8.547,32,es,1119090_hDzllxB1TQ7uUxVvjnGHirJJovt.jpg
43,1539104,JUJUTSU KAISEN: Execution -Shibuya Incident x The Culling Game Begins-,2025,2025-11-07,Shota Goshozono,"Animation, Action",88,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc.",5.3,67,ja,1539104_v0s3dx6am0RzfsuK3KdEy8ZoCDs.jpg
44,1448560,Wildcat,2025,2025-11-19,James Nunn,"Action, Thriller, Crime",99,An ex-black ops team reunite to pull off a desperate heist in order to save the life of their leader’s eight-year-old daughter.,6.343,51,en,
45,1033148,Die My Love,2025,2025-10-06,Lynne Ramsay,"Drama, Thriller",119,"Grace and her partner Jackson move into an old country house. She pursues her dream of writing, and the couple welcome a baby soon after. However, with Jackson frequently absent, and the pressures of domestic life weighing on her, Grace begins to unravel, leaving a path of destruction in her wake.",6.421,191,en,1033148_kajpShbFhOdpl6yCrLezMrr9tB4.jpg
46,803796,KPop Demon Hunters,2025,2025-06-20,Maggie Kang,"Fantasy, Music, Comedy, Animation",96,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",8.181,2068,en,803796_zT7Lhw3BhJbMkRqm9Zlx2YGMsY0.jpg
47,346364,It,2017,2017-09-06,Andy Muschietti,"Horror, Thriller",135,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",7.238,19910,en,
48,601,E.T. the Extra-Terrestrial,1982,1982-06-11,Steven Spielberg,"Science Fiction, Adventure, Family, Fantasy",115,"An alien is left behind on Earth and saved by the 10-year-old Elliott who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliott, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.",7.511,11691,en,601_an0nD6uq6byfxXCfk6lQBzdL2J1.jpg
49,1286185,The Carpenter's Son,2025,2025-11-13,Lotfy Nathan,Horror,94,"A remote village in Roman-era Egypt explodes into spiritual warfare when a carpenter, his wife and their child are targeted by supernatural forces.",5.174,23,en,1286185_tXEtdZjoaHqjDjSxZJWwDVjIfx9.jpg
50,575265,Mission: Impossible - The Final Reckoning,2025,2025-05-17,Christopher McQuarrie,"Action, Thriller, Adventure",170,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",7.248,2224,en,
